ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
5880;Andau;32001 Andau;Kath. Pfarrkirche hl. Nikolaus;;163;§ 2a
7170;Andau;32001 Andau;Grabdenkmal;;671;§ 2a
5882;Andau;32001 Andau;Friedhofskapelle;;671;§ 2a
5883;Andau;32001 Andau;Wasserturm;;3770;Bescheid
5885;Andau;32001 Andau;Dreifaltigkeitssäule;;4453/1;Bescheid
22276;Antau;30101 Antau;Pest-/Dreifaltigkeitssäule;Hauptplatz;234;§ 2a
21467;Antau;30101 Antau;Rittermühle/Kirchenmühle (Wohnhaus, Speicherbau und Mühlengebäude);Hauptplatz 5a;216/1;Bescheid
21466;Antau;30101 Antau;Kath. Pfarrkirche hl. Andreas;Hauptplatz 9;215;§ 2a
22277;Antau;30101 Antau;Sebastiansäule;Hauptplatz 9;215;§ 2a
22280;Antau;30101 Antau;Figurenbildstock hl. Antonius von Padua;Kleine Zeile 58;486;§ 2a
22273;Antau;30101 Antau;Figurenbildstock;Kleine Zeile 6a;423;§ 2a
22271;Antau;30101 Antau;Anna-Kapelle;Kleine Zeile 6a;423;§ 2a
22272;Antau;30101 Antau;Figurenbildstock, Ecce homo;Kleine Zeile 6a;423;§ 2a
22275;Antau;30101 Antau;Lourdeskapelle mit hl. Antonius und hl. Johannes Nepomuk;Untere Hauptstraße 65;926;§ 2a
22274;Antau;30101 Antau;Bildstock, Weißes Kreuz;Wiesengasse;1456;§ 2a
130700;Antau;30101 Antau;Villa Rustica Antau;;"1579/1; 1580/1, 1581/1; 1582/1; 1582/2; 1583/1; 1583/2; 1584/1";Bescheid
128984;Apetlon;32002 Apetlon;Hügelgrab Rosalia-Kapelle;Fuchsloch;"1431/1; 1431/2";Bescheid
5888;Apetlon;32002 Apetlon;Ortskapelle hl. Antonius;Illmitzerstraße;725/3;Bescheid
5886;Apetlon;32002 Apetlon;Kath. Pfarrkirche hl. Margaretha;Kirchengasse;72;§ 2a
5890;Apetlon;32002 Apetlon;Dreifaltigkeitssäule;Wallernerstraße;1702/1;§ 2a
5891;Apetlon;32002 Apetlon;Figurenbildstock Rotes Kreuz;;859/2;§ 2a
5889;Apetlon;32002 Apetlon;Friedhofskreuz;;695;§ 2a
5887;Apetlon;32002 Apetlon;Rosalienkapelle, Tschidakapelle;;1431/2;Bescheid
22293;Bad Sauerbrunn;30115 Sauerbrunn;Musikpavillon im alten Kurpark;Bahnhofplatz 2;762/4;Bescheid
22287;Bad Sauerbrunn;30115 Sauerbrunn;Seniorenresidenz Rosengarten;Kirchengasse 6;682/4;Bescheid
22294;Bad Sauerbrunn;30115 Sauerbrunn;Badeanlage;Mattersburgerstraße 27a;191;§ 2a
