ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
61327;Afritz am See;75401 Afritz;Kath. Pfarrkirche hl. Nikolaus und Friedhof;Afritz;.67, 375/4;§ 2a
61324;Afritz am See;75401 Afritz;Mesnerhaus;Dorfstraße 26;362;§ 2a
34299;Afritz am See;75401 Afritz;Ehem. Pflegerhaus der Grafen Porcia;Gassen;727;Bescheid
61428;Afritz am See;75404 Berg ob Afritz;Kalvarienbergkapelle;Berg ob Afritz 10;.74;§ 2a
34153;Albeck;72301 Albeck;Schloss Neualbeck;Neualbeck 1;.2;Bescheid
93206;Albeck;72301 Albeck;Burgruine Alt-Albeck;Sirnitz;61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 738, 739;§ 2a
63219;Albeck;72313 Großreichenau;Kath. Filialkirche hl. Ruprecht;Sankt Ruprecht;.72;§ 2a
61424;Albeck;72329 St. Leonhard;Kapelle hl. Leonhard;Benesirnitz;.65;§ 2a
61425;Albeck;72329 St. Leonhard;Kath. Filialkirche hl. Leonhard im Bade;Benesirnitz;.64;§ 2a
94523;Albeck;72329 St. Leonhard;Evang. Pfarrkirche A.B.;Grillenberg 15;.16/1;§ 2a
128634;Albeck;72335 Sirnitz;Gesamtanlage, Kath. Pfarrkirche hl. Nikolaus und Kirchhof mit Karner und Kriegerdenkmal;Sirnitz;.1, .2 52;§ 2a
94525;Albeck;72335 Sirnitz;Pfarrhof;Sirnitz 21;.20/1;§ 2a
61343;Althofen;74001 Althofen;Burg, ehem. Fronfeste;Burgstraße 12;.20;Bescheid
34156;Althofen;74001 Althofen;Wohnhaus;Burgstraße 3;.35;Bescheid
34157;Althofen;74001 Althofen;Wohnhaus, ehem. Gerichtsgebäude;Burgstraße 5;.34/1;Bescheid
61340;Althofen;74001 Althofen;Hornturm (ehem. Wehrturm);Burgstraße 7, bei;.9;§ 2a
34158;Althofen;74001 Althofen;Auer von Welsbach-Museum;Burgstraße 8;.27/1;Bescheid
61344;Althofen;74001 Althofen;Wohnhaus Schwarz am Berg (ehem. Pfleghaus);Burgstraße 9;.23/3;Bescheid
34159;Althofen;74001 Althofen;Altes Rathaus;Freimarktstraße 4;.47, .48;Bescheid
34155;Althofen;74001 Althofen;Annenturm, ehem. Bergfried;Grobeckerplatz 1;.44;Bescheid
61341;Althofen;74001 Althofen;Volksschule- und Hauptschule;Höpfnerstraße 13;.187;§ 2a
68314;Althofen;74001 Althofen;Knappenbrunnen (Gnomenbrunnen);Salzburger Platz;908/1;§ 2a
68315;Althofen;74001 Althofen;Pestsäule;Salzburger Platz;908/1;§ 2a
68306;Althofen;74001 Althofen;Gasthaus Zur Post;Salzburger Platz 1;.41/1;Bescheid
68307;Althofen;74001 Althofen;Wohn- und Gasthaus;Salzburger Platz 2;.39;Bescheid
34160;Althofen;74001 Althofen;Rieder-Haus;Salzburger Platz 6;.73;Bescheid
68310;Althofen;74001 Althofen;Wohnhaus;Salzburger Platz 8;.76;Bescheid
68311;Althofen;74001 Althofen;(Neues) Schloss;Schloßplatz 1;.29;Bescheid
34161;Althofen;74001 Althofen;(Neues) Schloss;Schloßplatz 2;".30; .25, .33";Bescheid
68313;Althofen;74001 Althofen;Pfarrhof;Schloßplatz 4;.32;§ 2a
67872;Althofen;74001 Althofen;Kalvarienbergkirche hl. Kreuz mit Kreuzweg;;".17; 88/2, 88/3";§ 2a
67873;Althofen;74001 Althofen;Karner;;.111/2;§ 2a
102031;Althofen;74001 Althofen;Stadtbefestigung (Gesamtanlage);;"171; .34/3; .25; 71";§ 2a
67874;Althofen;74001 Althofen;Kath. Pfarrkirche hl. Thomas von Canterbury mit Kirchhof;;.28;§ 2a
67871;Althofen;74001 Althofen;Ehem. Bürgerspitalskirche hl. Cäcilia und Friedhof;;.111/1, 342/2;§ 2a
109202;Althofen;74001 Althofen;Steingewölbebrücke;;"927; 869/1";§ 2a
102014;Althofen;74016 Töscheldorf;Schloss Krumfelden;Krumfelden 1;.7/1;Bescheid
101924;Althofen;74016 Töscheldorf;Kath. Filialkirche hll. Johannes und Paul;Rabenstein;.17;§ 2a
131001;Althofen;74016 Töscheldorf;Schlossanlage Töscheldorf;Töscheldorf 1, 2;.10, .11;Bescheid
61360;Arnoldstein;75402 Arnoldstein;Kreuzkapelle und Wegkapelle;Arnoldstein;.53/1, .53/2;§ 2a
61362;Arnoldstein;75402 Arnoldstein;Kath. Pfarrkirche hl. Lambert;Arnoldstein;.26, 42/2;§ 2a
61743;Arnoldstein;75402 Arnoldstein;Ehem. Filialkirche hl. Maria;Arnoldstein 5;.81;§ 2a
61740;Arnoldstein;75402 Arnoldstein;Friedhof mit drei Kapellen;Gailitz 1;.111, .112, 106/3, 106/4, 106/7, 106/8;§ 2a
34171;Arnoldstein;75402 Arnoldstein;Ehem. Forsthaus;Greuth 1;1146;Bescheid
34172;Arnoldstein;75402 Arnoldstein;Klosterruine Arnoldstein;Klosterweg 1;.30/1;§ 2a
61350;Arnoldstein;75402 Arnoldstein;Ehem. Gemeindeamt;Klosterweg 2;.32/1;§ 2a
77539;Arnoldstein;75402 Arnoldstein;Wohnhaus Mauthner oder Post;Marktplatz 6;.24/1;Bescheid
34298;Arnoldstein;75402 Arnoldstein;Fabriksgebäude, Schrotturm;Schrotturmstraße 1;.87/1;Bescheid
47711;Arnoldstein;75402 Arnoldstein;Gailitzbrücke;;"1193/3; 1221/2";§ 2a
61941;Arnoldstein;75417 Hart;Kath. Filialkirche hl. Anna;Hart;.4;§ 2a
62764;Arnoldstein;75417 Hart;Wallfahrtskirche Maria Siebenbrünn und Friedhof;Radendorf;".69; 807/2";§ 2a
77675;Arnoldstein;75417 Hart;Steingewölbebrücke;Riegersdorf;1064/4;§ 2a
63088;Arnoldstein;75417 Hart;Kath. Pfarrkirche hl. Leonhard und Friedhof;Sankt Leonhard bei Siebenbrünn;".26; 1013/3";§ 2a
47193;Arnoldstein;75427 Maglern;Alte Poststraße;Magler Wald;1006/9;Bescheid
62456;Arnoldstein;75427 Maglern;Burgruine Straßfried;Maglern;.1/1;Bescheid
63443;Arnoldstein;75427 Maglern;Kath. Pfarrkirche hl. Andreas und Friedhof;Thörl-Maglern-Greuth;.92/1,  865/2;§ 2a
63540;Arnoldstein;75427 Maglern;Aufnahmsgebäude;Unterthörl;.68/7;Bescheid
40407;Arnoldstein;75427 Maglern;Zolldienst- und Wohngebäude;Unterthörl 36;898/1;Bescheid
62414;Arnoldstein;75433 Pöckau;Kath. Filialkirche hl. Stefan und Friedhof;Lind;.7;§ 2a
62732;Arnoldstein;75433 Pöckau;Kath. Filialkirche hl. Ruprecht und Friedhof;Pöckau;.30, 194;§ 2a
77674;Arnoldstein;75436 Riegersdorf;Wegkapelle Maria Hilf;Krainberg;1102;§ 2a
77565;Arnoldstein;75436 Riegersdorf;Ehem. Nikolauskirche, Thurnbergkapelle;Neuhaus;.1;§ 2a
62582;Arnoldstein;75436 Riegersdorf;Kath. Filialkirche hl. Nikolaus;Neuhaus;.2/2;§ 2a
48520;Arnoldstein;75436 Riegersdorf;Gasthaus Pirtscher, ehem. Poststation;Riegersdorf 1;342/3;Bescheid
48024;Arnoldstein;75436 Riegersdorf;Riegersdorfer Kapelle;Riegersdorf 10, bei;669;Bescheid
34722;Arnoldstein;75436 Riegersdorf;Befestigungsanlage Thurnberg;Thurnberg;56/2, 60;Bescheid
63486;Arnoldstein;75436 Riegersdorf;Kath. Filialkirche hl. Oswald und Friedhof;Tschau;.41;§ 2a
77545;Arnoldstein;75436 Riegersdorf;Wegkapelle;Tschau;898/1;§ 2a
77555;Arnoldstein;75447 Seltschach;Evangelischer Friedhof mit Kapelle;Agoritschach;1706;§ 2a
61330;Arnoldstein;75447 Seltschach;Evang. Pfarrkirche A.B.;Agoritschach;.24;§ 2a
34872;Arnoldstein;75447 Seltschach;Spätantike Höhensiedlung Hoischhügel;Hoischhügel;90, 92, 94;Bescheid
62929;Arnoldstein;75447 Seltschach;Kath. Filialkirche hl. Servatius;Seltschach;.55, 1537;§ 2a
61365;Arriach;75403 Arriach;Kath. Pfarrkirche hll. Philipp und Jakob und Friedhof;Arriach;.26;§ 2a
61366;Arriach;75403 Arriach;Evang. Pfarrkirche A.B. Vier-Evangelisten-Kirche;Arriach;.282;§ 2a
61983;Arriach;75420 Innere Teuchen;Ehem. Hospiz Klösterle, Pfarrkirche hl. Kreuz;Innerteuchen 5, bei;".78/1; .78/2";§ 2a
67877;Arriach;75425 Laastadt;Kath. Filialkirche hll. Peter und Paul und Kirchhof;Oberwöllan;.39;§ 2a
77757;Arriach;75425 Laastadt;Mauerspeicher Wieser;Unterwöllan 14, bei;574;Bescheid
48532;Arriach;75425 Laastadt;Blochstadel Lackner;Unterwöllan 4;.92/1;Bescheid
90972;Arriach;75445 Sauerwald;Sonnenobservatorium - Turm 4 - äußere Erscheinung;;464/9;Bescheid
67879;Bad Bleiberg;75405 Bleiberg;Flur-/Wegkapelle hl. Maria am Stein, Deutsche Kapelle;Bad Bleiberg;.446;§ 2a
77709;Bad Bleiberg;75405 Bleiberg;Bartholomäuskapelle;Bad Bleiberg;596/1;§ 2a
77710;Bad Bleiberg;75405 Bleiberg;Lawinendenkmal;Bad Bleiberg;1361/1;§ 2a
77712;Bad Bleiberg;75405 Bleiberg;Porträtbüste des Gewerken Romuald Holenia;Bad Bleiberg;590;§ 2a
61406;Bad Bleiberg;75405 Bleiberg;Kath. Pfarrkirche hl. Florian;Bad Bleiberg;.289;§ 2a
61407;Bad Bleiberg;75405 Bleiberg;Gemeindeamt, ehem. Gewerkenhaus, ehem. BBU-Direktion;Bad Bleiberg 49;.176;§ 2a
74192;Bad Bleiberg;75405 Bleiberg;Ehem. Gewerkenhaus Dreyhann-Holenia oder Baronhaus, heute Cafe;Bad Bleiberg 50;.177;Bescheid
48939;Bad Bleiberg;75405 Bleiberg;Ehem. Gewerkenhaus, Perscha Wastl;Bad Bleiberg 73;.209;Bescheid
34173;Bad Bleiberg;75405 Bleiberg;Alte Volksschule;Bad Bleiberg 81;.225;Bescheid
34174;Bad Bleiberg;75405 Bleiberg;Gewerkenhaus Mühlbacher;Bad Bleiberg 93;.226/1;Bescheid
46890;Bad Bleiberg;75405 Bleiberg;Wohn- und Geschäftshaus, Knappenhaus;Bad Bleiberg 97;".226/2; 586";Bescheid
74195;Bad Bleiberg;75405 Bleiberg;Ehem. Gewerkenhaus Theresienhof;Bleiberg-Nötsch 2;.13/2;Bescheid
61390;Bad Bleiberg;75405 Bleiberg;Evang. Pfarrkirche A.B.;Bleiberg-Nötsch 4;.15;§ 2a
81930;Bad Bleiberg;75405 Bleiberg;Bad Rudolf;Bleiberg-Nötsch 86;1434;Bescheid
39484;Bad Bleiberg;75405 Bleiberg;Ehem. Förderanlage Rudolfschacht;Bleiberg-Nötsch 87;.82/3;Bescheid
48856;Bad Bleiberg;75405 Bleiberg;Antonischacht mit Förderturm, Aufbereitungsanlage, Bergschmiede und Museum;Bleiberg-Nötsch 91;".452/2; .452/1; .452/4, 47/6";Bescheid
61385;Bad Bleiberg;75424 Kreuth;Kath. Pfarrkirche hl. Heinrich und Friedhof;Bleiberg-Kreuth;.67, 282;§ 2a
77716;Bad Bleiberg;75424 Kreuth;Kaiser-Franz-Leopold-Erbstollen mit Inschrifttafel;Bleiberg-Kreuth;1065;§ 2a
68013;Bad Bleiberg;75424 Kreuth;Heinrichhütte, Schmelzhaus;Bleiberg-Kreuth;349/3;Bescheid
48241;Bad Bleiberg;75424 Kreuth;Bürgerhaus, Gelautzhaus;Bleiberg-Kreuth 157;.212;Bescheid
74189;Bad Bleiberg;75424 Kreuth;Hüttenschafferhaus;Bleiberg-Kreuth 40;.54/2;Bescheid
74186;Bad Bleiberg;75424 Kreuth;Antoni-Grubenhaus;Bleiberg-Kreuth 41;265;Bescheid
34181;Bad Bleiberg;75424 Kreuth;Khevenhüller-Jagdschloss, ehem. Gewerkenhaus, Christobi-Haus oder Besiersky-Haus;Bleiberg-Kreuth 44;.60;Bescheid
81910;Bad Bleiberg;75424 Kreuth;Antonischacht mit Förderturm, Aufbereitungsanlage, Bergschmiede und Museum;Bleiberg-Nötsch 91;297/3;Bescheid
61409;Bad Kleinkirchheim;73204 Kleinkirchheim;Kath. Filialkirche hl. Katharina im Bade;Bach 6;.74;§ 2a
62285;Bad Kleinkirchheim;73204 Kleinkirchheim;Evang. Filialkirche A.B.;Dorfstraße 296, 0G;.296;§ 2a
