ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
14972;Adlwang;49001 Adlwang;Pfarrhof;Bad-Haller-Straße 6;.21/1;§ 2a
14990;Adlwang;49001 Adlwang;Kath. Filialkirche, Wallfahrtskirche St. Blasien;Grünburger Straße 117;.66;§ 2a
14970;Adlwang;49001 Adlwang;Mesnerhaus, Blasenhaus;Grünburger Straße 119;.65;§ 2a
14971;Adlwang;49001 Adlwang;Kath. Pfarrkirche, Wallfahrtskirche Sieben Schmerzen Mariä;Kirchenplatz 1;.1;§ 2a
14973;Adlwang;49001 Adlwang;Pfarrheim;Kirchenplatz 10;.10;§ 2a
14974;Adlwang;49001 Adlwang;Kapelle hl. Brunnen;Mandorfer Strasse 19, nahe;.15;§ 2a
16688;Ahorn;47302 Ahorn;Ruine Piberstein;Piberstein 1;.12;Bescheid
57866;Aichkirchen;51101 Aichkirchen;Kath. Pfarrkirche hll. Peter und Paul mit Friedhof;Aichkirchen;.130, 582/1;§ 2a
94969;Aichkirchen;51101 Aichkirchen;Pfarrhof;Aichkirchen 1;.136;§ 2a
14738;Aigen im Mühlkreis;47001 Aigen;Kalvarienbergkapelle mit Kreuzweg;Aigen;2929/1;Bescheid
14735;Aigen im Mühlkreis;47001 Aigen;Pfarrhof;Hauptstraße 14;1213;§ 2a
14736;Aigen im Mühlkreis;47001 Aigen;Kath. Filialkirche hl. Martin;Hauptstraße 15;1050;§ 2a
14740;Aigen im Mühlkreis;47001 Aigen;Amtsgebäude;Kirchengasse 4;.80;§ 2a
14737;Aigen im Mühlkreis;47001 Aigen;Kath. Pfarrkirche hl. Johannes Evangelista;Marktplatz;1155/1;§ 2a
14749;Aigen im Mühlkreis;47001 Aigen;Brunnen;Marktplatz;2860/1;§ 2a
14750;Aigen im Mühlkreis;47001 Aigen;Mariensäule;Marktplatz;2860/1;§ 2a
14732;Aigen im Mühlkreis;47001 Aigen;Bürgerhaus;Marktplatz  13, 13a;".20/2; .20/1";Bescheid
14731;Aigen im Mühlkreis;47001 Aigen;Ackerbürgerhaus;Marktplatz 25;1119;Bescheid
14746;Aigen im Mühlkreis;47001 Aigen;Bürgerhaus;Marktplatz 6;.65;Bescheid
14741;Aigen im Mühlkreis;47001 Aigen;Bildstock;Schlossergasse;2860/21;§ 2a
36744;Aistersheim;44102 Aistersheim;Wasserschloss Aistersheim;Aistersheim 1, 2, 3;23, 24/1, 24/2, 98, .1, .2, .3, .4, .5, .8/1, .8/2;Bescheid
79126;Aistersheim;44102 Aistersheim;Pfarrhof, ehem. Villa Geßwagner;Aistersheim 28;.182;§ 2a
79124;Aistersheim;44102 Aistersheim;Karner;;40;§ 2a
79136;Aistersheim;44102 Aistersheim;Figurenbildstock hl. Johannes Nepomuk;;2033/2;§ 2a
57875;Aistersheim;44102 Aistersheim;Kath. Pfarrkirche Mariä Himmelfahrt und Friedhof;;.43, 40, 41/1;§ 2a
18693;Alberndorf in der Riedmark;45634 Oberndorf;Schloss Riedegg;Riedegg 1;.3/1;§ 2a
18694;Alberndorf in der Riedmark;45634 Oberndorf;Ruine Riedegg;Riedegg 1;.3/1;§ 2a
130506;Alberndorf in der Riedmark;45634 Oberndorf;Trassenabschnitt der ehemaligen Pferdeeisenbahn im Kleinen Gusental;;"1666/2, 1666/18; 1149/2; 1666/16, 1666/17, 1666/19, 1666/20; 1666/15; 1666/13; 1666/14";Bescheid
18698;Alberndorf in der Riedmark;45634 Oberndorf;Eisenbahnbrücke der ehem. Mittelstation Bürstenbach;;1667;§ 2a
75006;Alberndorf in der Riedmark;45634 Oberndorf;Straßenbrücke, Brücke Lugstetten;;1666/1;§ 2a
18695;Alberndorf in der Riedmark;45636 Pröselsdorf;Kath. Pfarrkirche Maria Himmelfahrt;Pröselsdorf;.26/5;§ 2a
1024;Alberndorf in der Riedmark;45640 Steinbach;Evangelisches Schul- und Bethaus, Gästehaus Weikersdorf;Weikersdorf 7;.188;§ 2a
103297;Alkoven;45001 Alkoven;Spätrömisches Gräberfeld;Flur Gstettenfeld;1504/18;Bescheid
4163;Alkoven;45001 Alkoven;Kath. Pfarrkirche hl. Margarethe;Kirchenstraße;.19;§ 2a
57882;Alkoven;45001 Alkoven;Pfarrhof;Kirchenstraße 21;.21/1;§ 2a
4165;Alkoven;45001 Alkoven;Herz-Jesu-Kapelle, Pichlmayr-Kapelle;Schulstraße;.187;Bescheid
4166;Alkoven;45002 Annaberg;Kath. Filialkirche hl. Anna;Annaberg 3, bei;.6;§ 2a
7542;Alkoven;45002 Annaberg;Mesner-Häusl;Annaberg 7, südlich;.7;§ 2a
4168;Alkoven;45012 Hartheim;Schloss Hartheim samt Wirtschaftsgebäude;Hartheim 1;450;Bescheid
4169;Alkoven;45012 Hartheim;Sog. Backstöckl beim Heitzingerhof;Schloßstraße 4;384/6;Bescheid
4170;Alkoven;45024 Puchham;Sog. Backstöckl beim Jungreithmeierhof;Puchham 20;.42;Bescheid
4167;Alkoven;45029 Straß;Bauernkriegsdenkmal;Straß 32, südlich;1064;Bescheid
19224;Allerheiligen im Mühlkreis;43201 Allerheiligen;Kath. Pfarrkirche, Wallfahrtskirche Unsere liebe Frau Königin aller Heiligen;;.15;§ 2a
15110;Allhaming;45502 Allhaming;Pfarrhof;Allhaming 1;102;§ 2a
15111;Allhaming;45502 Allhaming;Kath. Pfarrkirche hl. Georg und ehem. Friedhof;Allhaming 100, OG;100;§ 2a
100558;Allhaming;45502 Allhaming;Volksschule und Kindergarten;Allhaming 38;29;§ 2a
1027;Altenberg bei Linz;45622 Altenberg;Gemeindeamt;Reichenauer Straße 4;.212;§ 2a
