ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
4774;Abtenau;56001 Abtenau Dorf;Kath. Filialkirche hl. Maria - Mühlrain;;486/1;§ 2a
4768;Abtenau;56002 Abtenau Markt;Bezirksgericht, ehem. Ansitz;Markt 1;120/1;§ 2a
4767;Abtenau;56002 Abtenau Markt;Pfarrhof;Markt 2;141;§ 2a
4770;Abtenau;56002 Abtenau Markt;Verwalterhaus von St. Peter;Markt 5;141;§ 2a
4769;Abtenau;56002 Abtenau Markt;Ehem. Gefangenhaus, Gemeindekotter;Markt 73;120/5;§ 2a
71630;Abtenau;56002 Abtenau Markt;Ökonomiegebäude des Stiftes St. Peter;Markt 79;141;Bescheid
4765;Abtenau;56002 Abtenau Markt;Kath. Pfarrkirche hl. Blasius;;78/1;§ 2a
4766;Abtenau;56002 Abtenau Markt;Friedhofskapelle;;78/1;§ 2a
4787;Abtenau;56010 Schorn;Kapelle Herz Jesu und hl. Leonhard (Kapelle in Stocker, Radochsbergkirchlein);Stocker 3;.163;Bescheid
4795;Abtenau;56013 Unterberg;Bauernhof (Anlage) Arlergut;Au 9;228;§ 2a
4797;Abtenau;56013 Unterberg;Grenzsäule auf dem Strubberg;;38;Bescheid
5053;Adnet;56201 Adnet I;Bildstock;;884/4;§ 2a
5055;Adnet;56201 Adnet I;Friedhof;;1;§ 2a
5056;Adnet;56201 Adnet I;Kath. Pfarrkirche hl. Stephanus und Laurentius;;1;§ 2a
35231;Adnet;56231 Wimberg;Strubklamm-Kraftwerk;Wimberg 70;.186;Bescheid
40453;Adnet;56231 Wimberg;Reihenwohnhäuser (samt Betriebsleiterhaus);Wimberg 72-76, alle Nr.;"1/48; 1/49";Bescheid
5052;Adnet;56231 Wimberg;Pestkreuz;;1123/1;§ 2a
18793;Altenmarkt im Pongau;55301 Altenmarkt im Pongau;Heimatmuseum;Brunnbauerngasse 78;157;§ 2a
18871;Altenmarkt im Pongau;55301 Altenmarkt im Pongau;Kath. Pfarrkirche Dekanatskirche Unsere liebe Frau Geburt;;.1;§ 2a
18872;Altenmarkt im Pongau;55301 Altenmarkt im Pongau;Karner, Anna-Kapelle;;.1;§ 2a
18873;Altenmarkt im Pongau;55301 Altenmarkt im Pongau;Pfarrhof;;.2/1;§ 2a
18874;Altenmarkt im Pongau;55301 Altenmarkt im Pongau;Friedhof und Lourdeskapelle;;.1, 1;§ 2a
18875;Altenmarkt im Pongau;55301 Altenmarkt im Pongau;Dechantshofstall;;.2/1;§ 2a
11219;Anif;56502 Anif;Schloss mit Einrichtung und Park;Anif 1;305, 309, 316, 322/1;Bescheid
11222;Anif;56502 Anif;Bauernhof (Anlage);Fürstenweg 70;704/1;§ 2a
11227;Anif;56502 Anif;Kath. Pfarrkirche hl. Johannes der Täufer;Kirchenstraße 12;746/1;§ 2a
11218;Anif;56502 Anif;Kath. Pfarrkirche hl. Oswald;Römerstraße 7;421/1;§ 2a
11229;Anif;56502 Anif;Gutshof/Meierhof (herrschaftlich), Wirtschaftsgebäude des Schlosses Lasseregg;Schloss-Lasseregg-Straße 12;745/3;Bescheid
11228;Anif;56502 Anif;Schloss Lasseregg;Schloss-Lasseregg-Straße 16;745/1;Bescheid
11226;Anif;56502 Anif;Steinkreuz;;1129/4;§ 2a
72181;Annaberg-Lungötz;56003 Annaberg;Ehem. Mesnerhaus (Försterhaus);Annaberg 2;8/1;Bescheid
4897;Annaberg-Lungötz;56003 Annaberg;Kath. Pfarrkirche hl. Anna;Annaberg 33;.5, .188;§ 2a
4899;Annaberg-Lungötz;56003 Annaberg;Friedhofskapelle;;9;§ 2a
11269;Anthering;56402 Anthering;Pfarrhof;Bergstraße 1;2639;§ 2a
11268;Anthering;56402 Anthering;Kath. Pfarrkirche Mariae Himmelfahrt;Dorfplatz 1;1969;§ 2a
21936;Bad Gastein;55001 Badgastein;Bahnhof Bad Gastein;Bahnhofplatz 10;.239;Bescheid
21937;Bad Gastein;55001 Badgastein;Bahnhof Bad Gastein, Personalwohnhaus;Bahnhofplatz 11;.238;Bescheid
21939;Bad Gastein;55001 Badgastein;Wohnhaus, Pfarrhof, Haus St. Rupert;Bismarckstraße 12;.300;§ 2a
19149;Bad Gastein;55001 Badgastein;Pfarrhof;Bismarckstraße 14;.56;§ 2a
21934;Bad Gastein;55001 Badgastein;Kath. Filialkirche, hl. Nikolaus;Bismarckstraße 17;.78;§ 2a
19143;Bad Gastein;55001 Badgastein;Badeanlage, Naturdunstbad;Bismarckstraße 2;.40;§ 2a
21933;Bad Gastein;55001 Badgastein;Kath. Pfarrkirche, hll. Primus und Felizian/Preimskirche;Bismarckstraße 3;.45;§ 2a
10687;Bad Gastein;55001 Badgastein;Hotel Mirabell-Schwaigerhaus;Bismarckstraße 4;.60;Bescheid
19125;Bad Gastein;55001 Badgastein;Ehem. Kurhotel Austria;Kaiser Franz Josef-Straße 1;.26/1;Bescheid
19128;Bad Gastein;55001 Badgastein;Hotel/Pension, Haus Meran;Kaiser Franz Josef-Straße 11;.1/1;Bescheid
19127;Bad Gastein;55001 Badgastein;Hotel de l´Europe;Kaiser Franz Josef-Straße 14;.259;Bescheid
19129;Bad Gastein;55001 Badgastein;Villa Solitude;Kaiser Franz Josef-Straße 16;.149;Bescheid
10717;Bad Gastein;55001 Badgastein;Wohn- und Geschäftshaus/Kurhaus Quisisana;Kaiser Franz Josef-Straße 19;.148/2;Bescheid
10558;Bad Gastein;55001 Badgastein;Villa Victoria;Kaiser Franz Josef-Straße 20;.228;Bescheid
19132;Bad Gastein;55001 Badgastein;Villa Karlstein;Kaiser Franz Josef-Straße 22;.271;Bescheid
21935;Bad Gastein;55001 Badgastein;Evang. Pfarrkirche A.B., hl. Christophorus;Kaiser Franz Josef-Straße 23;.147;Bescheid
19131;Bad Gastein;55001 Badgastein;Villa Hubertus;Kaiser Franz Josef-Straße 24;.270, 32/2;Bescheid
