ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
35848;Admont;67401 Admont;Bürgerhaus, Himmelstoß, Hammerherrenhaus;Admont 73;.142;Bescheid
35849;Admont;67401 Admont;Oberhofmühle;Admont 82;.131/1;Bescheid
95068;Admont;67401 Admont;Leopoldinenbrunnen;Dr. Genger-Platz;447/8;§ 2a
56474;Admont;67401 Admont;Evang. Pfarrkirche A.B.;Ev. Kirchenstraße 184;.318;§ 2a
95077;Admont;67401 Admont;Friedhof christlich;Friedhofweg;"76/1; 76/2, .202";§ 2a
95084;Admont;67401 Admont;Wohnhaus;Hauptstraße 24;.28/2;§ 2a
118606;Admont;67401 Admont;Martha Wölger-Brunnen;Hauptstraße 3, südlich;437/6;§ 2a
56475;Admont;67401 Admont;Rathaus;Hauptstraße 36;424/2;§ 2a
123805;Admont;67401 Admont;Gesamtanlage Stift Admont;Kirchplatz 1 u. a.;".78, .335, 464/1; .289; 72; .90, .153/1, 67/2, 240/2; .97, .98, .99, .101, .159; 429/2";§ 2a
124975;Admont;67401 Admont;Ehem. Rüsthaus;Marienpark 225;.369;§ 2a
95136;Admont;67401 Admont;Arbeiterwohnhaus;Oberhofallee 93;162;§ 2a
95137;Admont;67401 Admont;(Getreide)Kasten, Oberhofstöckl;Oberhofallee 93, bei;162;Bescheid
95069;Admont;67401 Admont;Kriegerdenkmal;;437/1;§ 2a
35850;Admont;67402 Aigen;Schloss Röthelstein;Aigen 32;.44;Bescheid
95211;Admont;67402 Aigen;Hofkapelle;Aigen 61, bei;548/2;§ 2a
125487;Admont;67402 Aigen;Klause Selzthal;Aigen 9, östlich;1169/145;§ 2a
57213;Admont;67404 Johnsbach;Kath. Pfarrkirche hl. Ägydius;Johnsbach;.1;§ 2a
95890;Admont;67404 Johnsbach;Sogen. Bergsteigerfriedhof;Johnsbach;1/1, .80;§ 2a
57214;Admont;67404 Johnsbach;Pfarrhof;Johnsbach 1;.2;§ 2a
95897;Admont;67404 Johnsbach;Bauernhof (Anlage) Oberkainz;Johnsbach 44;.22/1;§ 2a
95894;Admont;67404 Johnsbach;Forst-/Jagdhaus;Johnsbach 77;.46/3;§ 2a
115703;Admont;67404 Johnsbach;Fußgängerbrücke, Johnsbach-Steg;;"570/1; 713/2; 1093/7";§ 2a
95220;Admont;67405 Krumau;Schloss Kaiserau;Krumau 1;.1/1, 626;§ 2a
82602;Admont;67405 Krumau;Hammerherrenhaus;Krumau 11;.12/2;Bescheid
95236;Admont;67405 Krumau;(Getreide)Kasten;Krumau 39, gegenüber;.46/2;§ 2a
95842;Admont;67407 Oberhall;Drei Bildstöcke Passion Christi;Hall;828/3, 855;§ 2a
57164;Admont;67410 Unterhall;Kath. Pfarrkirche Zum Hl. Kreuz und Friedhof;Hall;.47, 401;§ 2a
95829;Admont;67410 Unterhall;Landwirtschaftliche Berufsschule Grabnerhof;Hall 224-227;"186/1, .203; 184/4";§ 2a
95827;Admont;67410 Unterhall;Bauernhaus;Hall 87;614/1;§ 2a
101665;Aflenz;60001 Aflenz Kurort;Wegkapelle, Petruskreuz;Aflenz Kurort;448;§ 2a
35858;Aflenz;60001 Aflenz Kurort;Propstei- und Pfarrhofgebäude;Aflenz Kurort 1-1a;".2/1; .2/3";Bescheid
101726;Aflenz;60001 Aflenz Kurort;Hotel Aflenzerhof/Haagerhaus/Topplerhaus;Aflenz Kurort 15;81/2;Bescheid
35859;Aflenz;60001 Aflenz Kurort;Bräuhaus;Aflenz Kurort 2;.10;Bescheid
56482;Aflenz;60001 Aflenz Kurort;Kath. Pfarrkirche hl. Petrus mit Kirchhof und Kriegerdenkmal;Aflenz Kurort 290;.5/1, 100;§ 2a
101718;Aflenz;60001 Aflenz Kurort;Ehem. Bürgerspital;Aflenz Kurort 33;.46;§ 2a
