ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
2325;Abfaltersbach;85201 Abfaltersbach;Lourdeskapelle;Abfaltersbach;.126;Bescheid
2330;Abfaltersbach;85201 Abfaltersbach;Gütermagazin beim Bahnhof Abfaltern;Abfaltersbach;178/1;Bescheid
2316;Abfaltersbach;85201 Abfaltersbach;Aigner-Badl;Abfaltersbach 13;855;Bescheid
2317;Abfaltersbach;85201 Abfaltersbach;Hafnerei Steger;Abfaltersbach 14;55/1, .134, .23/1;Bescheid
2314;Abfaltersbach;85201 Abfaltersbach;Aigner-Kasten;Abfaltersbach 23, 23a, bei;851;Bescheid
2313;Abfaltersbach;85201 Abfaltersbach;Widum;Abfaltersbach 24;8/1;§ 2a
2310;Abfaltersbach;85201 Abfaltersbach;Ehem. Widum;Abfaltersbach 46;.94;Bescheid
2329;Abfaltersbach;85201 Abfaltersbach;Bahnhof Abfaltersbach, Aufnahmsgebäude;Abfaltersbach 71;.56/3;Bescheid
3134;Abfaltersbach;85201 Abfaltersbach;Römische Villa;Gesellhaus;"215; 191";Bescheid
2308;Abfaltersbach;85201 Abfaltersbach;Friedhofskapelle, Kriegerdenkmal, Totenkapelle, Kriegerkapelle;;446;§ 2a
2311;Abfaltersbach;85201 Abfaltersbach;Totenrastkapelle;;739/1;§ 2a
2312;Abfaltersbach;85201 Abfaltersbach;Kath. Filialkirche, Mariae Heimsuchung in Abfaltersbach;;843;§ 2a
2307;Abfaltersbach;85201 Abfaltersbach;Kath. Pfarrkirche hl. Andreas in Abfaltern;;.96, 446;§ 2a
126301;Absam;81001 Absam;Bauernhof (Anlage), Einhof;Bachgasse 4;.84/1;Bescheid
38625;Absam;81001 Absam;Ehem. Mühle;Bachgasse 5;.88;Bescheid
128285;Absam;81001 Absam;Pfarrladen, alte Friedhofskapelle;Dörferstraße;.113/1;Bescheid
126020;Absam;81001 Absam;Neuer Friedhof;Dörferstraße;"243, 246/2, 2374; 975/3, 2534, 2535";§ 2a
128284;Absam;81001 Absam;Ehem. Friedhofskapelle;Dörferstraße;.115;§ 2a
128286;Absam;81001 Absam;Kriegerdenkmal;Dörferstraße;.115;§ 2a
101617;Absam;81001 Absam;Ehem. Einhof Bichl;Dörferstraße 21;.55;Bescheid
38629;Absam;81001 Absam;Bauernhaus Lenzeler;Dörferstraße 35;121/3;Bescheid
127761;Absam;81001 Absam;Brunnen hl. Florian;Dörferstraße 37, gegenüber;2196/3;§ 2a
127760;Absam;81001 Absam;Brunnen;Dörferstraße 43a, westlich;270/1;§ 2a
38630;Absam;81001 Absam;Wohnhaus;Dörferstraße 52;.120;Bescheid
63825;Absam;81001 Absam;Kath. Pfarrkirche, Wallfahrtskirche hl. Michael und ehem. Friedhof;Dörferstraße 55a;.115;§ 2a
125202;Absam;81001 Absam;Villa Benedicta;Fanggasse 9;.274;§ 2a
87339;Absam;81001 Absam;Wandbild Fritz Berger;Fanggasse 9a;.577;Bescheid
121706;Absam;81001 Absam;Kaiser Franz Josef-Brunnen;Finkenberg 18, westlich;.775;§ 2a
38631;Absam;81001 Absam;Königsberg-Betriebsgebäude;Halltal;".375; 2166; .239";Bescheid
38632;Absam;81001 Absam;Material- u. Zeugbewahrungsgebäude mit Kapelle hl. Rupert;Halltal;.240;Bescheid
38634;Absam;81001 Absam;Untere Ladhütte;Halltal;.220;§ 2a
126031;Absam;81001 Absam;Freyungskapelle, Berger-Kapelle;Halltal;.219;§ 2a
126036;Absam;81001 Absam;Steinkreuze;Halltal;2318;§ 2a
126037;Absam;81001 Absam;Kreuzstein;Halltal;2141;§ 2a
126038;Absam;81001 Absam;Pulverturm;Halltal;.298;§ 2a
126040;Absam;81001 Absam;Mittlere Ladhütte;Halltal;.228;§ 2a
126041;Absam;81001 Absam;Obere Ladhütte;Halltal;.266;§ 2a
18831;Absam;81001 Absam;Kath. Filialkirche hl. Maria Magdalena, Friedhof und Gasthof;Halltal 23;.233, .232, 2152;Bescheid
127640;Absam;81001 Absam;Areal Klosterruine St. Magdalena und Wirtschaftsgebäude;Halltal 23, bei;2148, 2149, 2150, 2151, 2153, 2154, 2333, 2334, .234, .235;§ 2a
