ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
19392;Alberschwende;91101 Alberschwende;Ehem. Eisenbahnbrücke, heute Fußgängerbrücke (Drahtseilsteg);Bozenau;"4994; 4978/2";§ 2a
13687;Alberschwende;91101 Alberschwende;Bauernhof;Bühel 221;1942;Bescheid
19393;Alberschwende;91101 Alberschwende;Marienkapelle;Dreßlen-Vorholz;3417/3;Bescheid
21634;Alberschwende;91101 Alberschwende;Bauernhaus;Engloch 249;2803/1;Bescheid
21608;Alberschwende;91101 Alberschwende;Kapelle zu den Sieben Schmerzen Mariens;Fischbach;.170/2;§ 2a
20018;Alberschwende;91101 Alberschwende;Kruzifix/Kreuz;Fischbach 391, bei;.157/1;§ 2a
19625;Alberschwende;91101 Alberschwende;Kath. Pfarrkirche  hl. Martin;Hof;.1;§ 2a
19628;Alberschwende;91101 Alberschwende;hl. Wendelin (Merbodkapelle);Hof;.31;§ 2a
21621;Alberschwende;91101 Alberschwende;Wohnhaus, ehem. Pfarrhof;Hof 6;.4;Bescheid
19626;Alberschwende;91101 Alberschwende;Expositurkirche hll. Herz Jesu und Mariä;Müselbach;.295/2;§ 2a
19627;Alberschwende;91101 Alberschwende;Pfarrhof;Müselbach 339;.295/3;§ 2a
21607;Alberschwende;91101 Alberschwende;Kapelle, Fatimakapelle;Vorholz;.473;§ 2a
20015;Alberschwende;91101 Alberschwende;Kriegerdenkmal;;.10/1;§ 2a
30857;Altach;92101 Altach;ehem. Gasthaus Rössle;Bauern 51;.149/1;Bescheid
18335;Altach;92101 Altach;Bauernhof (Anlage), Rheintalhof;Hanfland 6;44/1;Bescheid
98721;Altach;92101 Altach;ehem. Pfarrhof;Schulstraße 2;.2;Bescheid
95239;Altach;92101 Altach;Kriegerdenkmal;;2610;§ 2a
49145;Altach;92101 Altach;Kath. Pfarrkirche hl. Nikolaus;;.555;§ 2a
19414;Andelsbuch;91001 Andelsbuch;Kapelle  hll. Martin und Wendelin;Bersbuch;.179;§ 2a
20886;Andelsbuch;91001 Andelsbuch;Gedenksäule Bezegg;Bezegg 269;2486;Bescheid
19415;Andelsbuch;91001 Andelsbuch;Kapelle hl. Sebastian;Buchen;4412;§ 2a
19407;Andelsbuch;91001 Andelsbuch;Kapelle hl. Sebastian;Bühel;.158;§ 2a
13482;Andelsbuch;91001 Andelsbuch;Kraftwerk Andelsbuch;Bühel 359;.380, .382, .383;Bescheid
13688;Andelsbuch;91001 Andelsbuch;Bauernhof (Anlage);Hof 134;83/6;Bescheid
19394;Andelsbuch;91001 Andelsbuch;Pfarrhof;Hof 143;53/2;§ 2a
19395;Andelsbuch;91001 Andelsbuch;Gasthaus Taube;Hof 145;.13;Bescheid
13689;Andelsbuch;91001 Andelsbuch;Wohnhaus, ehemalige Brauerei Geser;Hof 153;24/2;Bescheid
17654;Andelsbuch;91001 Andelsbuch;Kapelle Zum Bild;Meisten;.48/2;§ 2a
19416;Andelsbuch;91001 Andelsbuch;Kapelle hl. Antonius;Ruhmanen;.111;§ 2a
19413;Andelsbuch;91001 Andelsbuch;Friedhof christlich;;2/5;§ 2a
19412;Andelsbuch;91001 Andelsbuch;Kriegerdenkmal;;2/5;§ 2a
19411;Andelsbuch;91001 Andelsbuch;Kath. Pfarrkirche hll. Petrus und Paulus;;2/5;§ 2a
19614;Au;91002 Au;Bauernhof (Anlage);Argenau 116;.310;Bescheid
19615;Au;91002 Au;Bauernhof (Anlage);Argenzipfel 77;3232/1;Bescheid
129226;Au;91002 Au;Vorsäßhütte/Alphütte;Berngat-Berggut 68;.123;Bescheid
19612;Au;91002 Au;Kapelle hl. Michael;Boden Vorsäß;.548;§ 2a
22365;Au;91002 Au;Almhütte;Boden Vorsäß 293;.441;§ 2a
19608;Au;91002 Au;Bauernhof (Anlage);Lisse 91;3769/1;Bescheid
