ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
50410;Wien 1 - Innere Stadt;01004 Innere Stadt;Handelsakademie I der Wiener Kaufmannschaft;Akademiestraße 12;1249;Bescheid
29328;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Akademiestraße 1a;1692/1;Bescheid
27627;Wien 1 - Innere Stadt;01004 Innere Stadt;"Wohn- und Geschäftshaus; Moulin Rouge";Akademiestraße 2A;"1833/2; 1053/4; 1691/2";Bescheid
20122;Wien 1 - Innere Stadt;01004 Innere Stadt;Albrechtsbrunnen, Danubiusbrunnen;Albertinaplatz;1688/1, 10;Bescheid
20928;Wien 1 - Innere Stadt;01004 Innere Stadt;Hannakenbrunnen;Am Gestade;1624;§ 2a
50515;Wien 1 - Innere Stadt;01004 Innere Stadt;Maria am Gestade, Redemptoristenkirche;Am Gestade;458;§ 2a
22031;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus;Am Gestade 1;435;Bescheid
22032;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus;Am Gestade 3;447;Bescheid
22033;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus;Am Gestade 5;446;Bescheid
22034;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus, Polnisches Kulturinstitut;Am Gestade 7;444;Bescheid
20940;Wien 1 - Innere Stadt;01004 Innere Stadt;Mariensäule am Hof;Am Hof;1598/1;Bescheid
66273;Wien 1 - Innere Stadt;01004 Innere Stadt;Kirche Am Hof, Zu den neun Chören der Engel, mit ehem. Profeßhaus;Am Hof 1;364, 367, 368, 371/1, 371/2, 371/3;§ 2a
30185;Wien 1 - Innere Stadt;01004 Innere Stadt;Urbanihaus und Urbanikeller;Am Hof 12;361;Bescheid
50520;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Länderbank, urspr. nö. Escompte-Gesellschaft;Am Hof 2;372;Bescheid
89493;Wien 1 - Innere Stadt;01004 Innere Stadt;Zum Hahnenbeiss mit Ausstattung des Geschäftes Ostermann und des Tabakladens;Am Hof 5;315;Bescheid
50508;Wien 1 - Innere Stadt;01004 Innere Stadt;Märkleinsches Haus, Wiener Feuerwehrmuseum;Am Hof 7;318;§ 2a
40505;Wien 1 - Innere Stadt;01004 Innere Stadt;Sog. Schmales Haus;Am Hof 8;319;Bescheid
50507;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Bürgerliches Zeughaus, Feuerwehrzentrale;Am Hof 9-10;329/1;§ 2a
68221;Wien 1 - Innere Stadt;01004 Innere Stadt;Zentralfeuerwache, ehem. Unterkammeramtsgebäude;Am Hof 9-10;329/1, 329/2, 329/3;§ 2a
22035;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;An der Hülben 1;1721/2;§ 2a
22036;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;An der Hülben 4;880;§ 2a
333;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;An der Hülben 6;877;Bescheid
27688;Wien 1 - Innere Stadt;01004 Innere Stadt;Sogen. Nádasdysches Haus oder Batthyánysches Haus;Annagasse 10;1034;Bescheid
27692;Wien 1 - Innere Stadt;01004 Innere Stadt;Sog. Milosch-Haus;Annagasse 12;1033;Bescheid
27694;Wien 1 - Innere Stadt;01004 Innere Stadt;Zum Blauen Karpfen/ehemals Zum Dampfschiff;Annagasse 14;1032;Bescheid
27695;Wien 1 - Innere Stadt;01004 Innere Stadt;Hotel Römischer Kaiser, ehem. Zur blauen Kugel;Annagasse 16;1031;Bescheid
27696;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus;Annagasse 18;1030;Bescheid
27740;Wien 1 - Innere Stadt;01004 Innere Stadt;"Haus der Musik, Erzherzog-Karl-Palais, Palais Ypsilanti;";Annagasse 20;1027;Bescheid
27666;Wien 1 - Innere Stadt;01004 Innere Stadt;Restaurations- und Wohngebäude, Annahof;Annagasse 3, 3a;1003/4;Bescheid
50330;Wien 1 - Innere Stadt;01004 Innere Stadt;Klosterkirche hl. Anna mit Oblatenkloster;Annagasse 3b;"1004; 1003/2";§ 2a
27681;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Kremsmünstererhof;Annagasse 4;1040;Bescheid
27689;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Kleinmariazeller Hof (später Hofkammerarchiv);Annagasse 5;1005/1;Bescheid
27684;Wien 1 - Innere Stadt;01004 Innere Stadt;Herzogenburgerhof;Annagasse 6;1038;§ 2a
27693;Wien 1 - Innere Stadt;01004 Innere Stadt;Mailbergerhof;Annagasse 7;1006;Bescheid
27686;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Bürgerhaus, Täuber- oder Deyberlhof;Annagasse 8;1037;Bescheid
13757;Wien 1 - Innere Stadt;01004 Innere Stadt;Albertina mit Augustinerbastei und Museum, Augustinerturm;Augustinerstraße 1;"9, 1688/1, 1829/2, 1829/6, 1829/7; 1829/5";Bescheid
30440;Wien 1 - Innere Stadt;01004 Innere Stadt;Sog. Ungarisches Haus, Harnischhaus;Augustinerstraße 12;1174;Bescheid
13760;Wien 1 - Innere Stadt;01004 Innere Stadt;Augustinerkloster mit Augustinersaal und Refektorium, Augustinerdurchgang;Augustinerstraße 3, 9;"2/2, 7/2; 7/1, 8";Bescheid
77182;Wien 1 - Innere Stadt;01004 Innere Stadt;Augustinerkirche, ehem. Hofpfarrkirche hl. Augustin;Augustinerstraße 5, 7;2/1, 3,  4, 5, 6, 7/3, 7/4, 7/5, 7/6;Bescheid
28974;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Babenbergerstraße 1;1189;Bescheid
28976;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Babenbergerstraße 3;1191;Bescheid
22994;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Palais Nimptsch;Bäckerstraße 10;756;Bescheid
119587;Wien 1 - Innere Stadt;01004 Innere Stadt;Gesamtanlage Alte Universität mit Jesuitenkirche;Bäckerstraße 11, 13, 20, u. a.;"728; 730; 779, 784/1, 784/2, 783, 785/1, 785/2; 782";§ 2a
30814;Wien 1 - Innere Stadt;01004 Innere Stadt;Haus Wo die Kuh am Brett spielt;Bäckerstraße 12;757;Bescheid
30530;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus, Haus Zum Goldenen Löwen;Bäckerstraße 14;760;Bescheid
30532;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus, ÖTK-Klubhaus;Bäckerstraße 16;761;Bescheid
50317;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Bäckerstraße 18;765;§ 2a
30261;Wien 1 - Innere Stadt;01004 Innere Stadt;Zeltschneiderisches Haus;Bäckerstraße 2;749;Bescheid
30533;Wien 1 - Innere Stadt;01004 Innere Stadt;Alte Aula/Teil der alten Universität;Bäckerstraße 20;779;Bescheid
30273;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Bäckerstraße 3;734;Bescheid
30274;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus, vormals Dr. Scharschellisches Haus;Bäckerstraße 5;733;Bescheid
89531;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Bäckerstraße 6;752;Bescheid
30811;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus, Haus Stampa;Bäckerstraße 7;732;Bescheid
30812;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Palais Seilern/Fünfkirchnersches Palais/Seitern'sches Haus;Bäckerstraße 8;753;Bescheid
50316;Wien 1 - Innere Stadt;01004 Innere Stadt;Windhagsches Stiftungshaus;Bäckerstraße 9;731;§ 2a
76859;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Handelsschule Allina;Ballgasse 2;964;§ 2a
30534;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Ballgasse 4;963;Bescheid
76618;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus, Zum neuen Blumenstock;Ballgasse 6;962;Bescheid
77934;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus, Der bürgerlichen Tischler Herberg;Ballgasse 8;961;Bescheid
13758;Wien 1 - Innere Stadt;01004 Innere Stadt;Amalienburg;Ballhausplatz 1;1;Bescheid
50446;Wien 1 - Innere Stadt;01004 Innere Stadt;Bundeskanzleramt und Österr. Haus-, Hof- und Staatsarchiv;Ballhausplatz 2;52, 53/1;§ 2a
30538;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Palais Batthyány;Bankgasse 2;97;Bescheid
50449;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem Administrationsgebäude der Österreichisch-ungarischen Bank;Bankgasse 3;83;Bescheid
50443;Wien 1 - Innere Stadt;01004 Innere Stadt;Concordia-Haus, ehem. Althansches Freihaus;Bankgasse 8;93;Bescheid
30568;Wien 1 - Innere Stadt;01004 Innere Stadt;Stadtpalais Liechtenstein, Liechtensteinsches Majoratshaus;Bankgasse 9;89, 90;Bescheid
50426;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Bartensteingasse 13;1528/5;§ 2a
89715;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Bartensteingasse 14;1530/2;§ 2a
46740;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Bartensteingasse 16;1530/3;Bescheid
50432;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Bartensteingasse 9;1527/4;§ 2a
20190;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Oppenheimersches Haus, Zur Brieftaube;Bauernmarkt 1;565;Bescheid
29347;Wien 1 - Innere Stadt;01004 Innere Stadt;Verwaltungs-/Bürogebäude;Bauernmarkt 2;601;Bescheid
8866;Wien 1 - Innere Stadt;01004 Innere Stadt;Fischhof, Imperial-Kino;Bauernmarkt 22;521/2;Bescheid
89986;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Bauernmarkt 2a;605/3;Bescheid
17474;Wien 1 - Innere Stadt;01004 Innere Stadt;Beethoven-Denkmal;Beethovenplatz;1312;§ 2a
10448;Wien 1 - Innere Stadt;01004 Innere Stadt;Akademisches Gymnasium;Beethovenplatz 1;1307;Bescheid
19152;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Beethovenplatz 2;1324;Bescheid
25975;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Bellariastraße 10;1557;Bescheid
90315;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Bellariastraße 12;1559;Bescheid
50471;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Epstein;Bellariastraße 2;1549, 1551;Bescheid
25895;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Bellariastraße 4;1550/1;Bescheid
50470;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Bellariastraße 8;1555;Bescheid
50376;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus mit Café Prückel und Geschäftsportal;Biberstraße 2;790/2;Bescheid
22037;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus;Blutgasse 3;842;Bescheid
22038;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus Zur grünen Raith-Tafel (Teil d. Häuserkomplexes Fähnrichshof);Blutgasse 5;843;Bescheid
22039;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus (Teil des Fähnrichshofs);Blutgasse 7;846;Bescheid
22040;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus, Kleiner Fähnrichshof;Blutgasse 9;848;Bescheid
75754;Wien 1 - Innere Stadt;01004 Innere Stadt;Dreiheiligenhof;Bognergasse 7;375;Bescheid
30608;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus, Zum weißen Engel;Bognergasse 9;374;Bescheid
20937;Wien 1 - Innere Stadt;01004 Innere Stadt;Hermann Gmeiner-Denkmal;Börseplatz;1771/2;§ 2a
22356;Wien 1 - Innere Stadt;01004 Innere Stadt;Telegraphenzentrale;Börseplatz 1;201/3;Bescheid
30580;Wien 1 - Innere Stadt;01004 Innere Stadt;Musikverein;Bösendorferstraße 12;1291;Bescheid
30606;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Lützow;Bösendorferstraße 13;1288;Bescheid
73356;Wien 1 - Innere Stadt;01004 Innere Stadt;Mattoni-Hof;Brandstätte 10;552/2;Bescheid
30678;Wien 1 - Innere Stadt;01004 Innere Stadt;Hohenfeld'sches Freihaus;Bräunerstraße 10;1139;Bescheid
45449;Wien 1 - Innere Stadt;01004 Innere Stadt;Friessches Zinshaus;Bräunerstraße 11;1163;Bescheid
41157;Wien 1 - Innere Stadt;01004 Innere Stadt;Stadtpalais, Geburtshaus Johann Nestroys;Bräunerstraße 3;1130;§ 2a
